,Intersection place,Start intersection ID,End intersection ID,Name of the road segment,car,long vehicle,bus,Total vehicles,Distance (m),Distance (s),Distance with intersection (s),Travel duration prediction (Fjolla),Start Laitude,Start Longitude,End Laitude,End Longitude,Name of the lane in SUMO,Name of the edge lane in SUMO,Name of the road segment in OpenStreetMap
60,Qerimi,16,4,Menza_Qerimi_HajrullahAbdullahu,4,,,4,300,27,30,,42.654922,21.164106,42.654076,21.167687,,672144716,
61,Qerimi,16,4,Menza_Qerimi_EnverMaloku,53,,,53,300,27,30,,42.654922,21.164106,42.654076,21.167687,,672144716,
62,Qerimi,16,4,Menza_Qerimi_Teknik,31,,,31,300,27,30,,42.654922,21.164106,42.654076,21.167687,,672144716,
63,Qerimi,3,4,Teknik_Qerimi_Teknik,0,,,0,500,45,48,,42.650273,21.16483,42.654076,21.167687,,,
64,Qerimi,3,4,Teknik_Qerimi_Menza,27,,,27,500,45,48,,42.650273,21.16483,42.654076,21.167687,,668981623#4,
65,Qerimi,3,4,Teknik_Qerimi_HajrullahAbdullahu,5,,,5,500,45,48,,42.650273,21.16483,42.654076,21.167687,,668981623#4,
66,Qerimi,3,4,Teknik_Qerimi_EnverMaloku,42,,3,45,500,45,48,,42.650273,21.16483,42.654076,21.167687,,668981623#4,
67,Qerimi,30,4,EnverMaloku_Qerimi_EnverMaloku,0,,,0,95,9,12,,42.653367,21.168253,42.654076,21.167687,,,
68,Qerimi,30,4,EnverMaloku_Qerimi_Teknik,44,,1,45,95,9,12,,42.653367,21.168253,42.654076,21.167687,,640943482#0,
69,Qerimi,30,4,EnverMaloku_Qerimi_Menza,108,,,108,95,9,12,,42.653367,21.168253,42.654076,21.167687,,640943482#0,
70,Qerimi,30,4,EnverMaloku_Qerimi_HajrullahAbdullahu,10,,,10,95,9,12,,42.653367,21.168253,42.654076,21.167687,,640943482#0,
71,Qerimi,4,29,Qerimi_HajrullahAbdullahu,,,,0,80,8,11,,42.654076,21.167687,42.654638,21.168288,,672144730,
72,Qerimi,4,30,Qerimi_EnverMaloku,,,,0,95,9,12,,42.654076,21.167687,42.653367,21.168253,,294952098,
73,Rruga B,3,5,Teknik_RrugaB_Teknik,6,,,6,700,63,66,,42.650273,21.16483,42.649013,21.17265,,670029696,
74,Rruga B,3,5,Teknik_RrugaB_MaxiMarket,53,,2,55,700,63,66,,42.650273,21.16483,42.649013,21.17265,,670029696,
75,Rruga B,3,5,Teknik_RrugaB_BibajSport,21,,,21,700,63,66,,42.650273,21.16483,42.649013,21.17265,,670029696,
76,Rruga B,32,5,BibajSport_RrugaB_Teknik,28,,,28,130,12,15,,42.648009,21.171872,42.649013,21.17265,,233495978#0,
77,Rruga B,32,5,BibajSport_RrugaB_MaxiMarket,86,5,,91,130,12,15,,42.648009,21.171872,42.649013,21.17265,,233495978#0,
78,Rruga B,31,5,MaxiMarket_RrugaB_BibajSport,101,4,,105,190,18,21,,42.650404,21.174087,42.649013,21.17265,,233495995#0,
79,Rruga B,31,5,MaxiMarket_RrugaB_Teknik,26,,2,28,190,18,21,,42.650404,21.174087,42.649013,21.17265,,233495995#0,
80,Rruga B,5,31,RrugaB_MaxiMarket,,,,0,190,18,21,,42.649013,21.17265,42.650404,21.174087,,670238024#0,
81,Rruga B,5,32,RrugaB_BibajSport,,,,0,130,12,15,,42.649013,21.17265,42.648009,21.171872,,233495995#2,
82,MAShTI,16,6,Menza_MAShTI_Menza,2,,,2,500,45,48,,42.654922,21.164106,42.659137,21.164555,,144928692#2,
83,MAShTI,16,6,Menza_MAShTI_FakultetiEkonomik,1,,,1,500,45,48,,42.654922,21.164106,42.659137,21.164555,,144928692#2,
84,MAShTI,16,6,Menza_MAShTI_Parlamenti,99,2,6,107,500,45,48,,42.654922,21.164106,42.659137,21.164555,,144928692#2,
85,MAShTI,16,6,Menza_MAShTI_KarlGega,18,,,18,500,45,48,,42.654922,21.164106,42.659137,21.164555,,144928692#2,
86,MAShTI,33,6,KarlGega_MAShTI_Menza,11,,,11,55,5,8,,42.65908,21.165188,42.659137,21.164555,,-41897891#2,
87,MAShTI,33,6,KarlGega_MAShTI_FakultetiEkonomik,1,,,1,55,5,8,,42.65908,21.165188,42.659137,21.164555,,-41897891#2,
88,MAShTI,33,6,KarlGega_MAShTI_Parlamenti,42,,,42,55,5,8,,42.65908,21.165188,42.659137,21.164555,,-41897891#2,
89,MAShTI,7,6,Parlamenti_MAShTI_Parlamenti,10,,,10,750,68,71,,42.665671,21.165193,42.659137,21.164555,,669157819#0,
90,MAShTI,7,6,Parlamenti_MAShTI_KarlGega,30,,,30,750,68,71,,42.665671,21.165193,42.659137,21.164555,,669157819#0,
91,MAShTI,7,6,Parlamenti_MAShTI_Menza,152,1,6,159,750,68,71,,42.665671,21.165193,42.659137,21.164555,,669157819#0,
92,MAShTI,7,6,Parlamenti_MAShTI_FakultetiEkonomik,2,,,2,750,68,71,,42.665671,21.165193,42.659137,21.164555,,669157819#0,
93,MAShTI,34,6,FakultetiEkonomik_MAShTI_Parlamenti,0,,,0,160,15,18,,42.65938,21.163365,42.659137,21.164555,,-4854682#1,
94,MAShTI,34,6,FakultetiEkonomik_MAShTI_KarlGega,0,,,0,160,15,18,,42.65938,21.163365,42.659137,21.164555,,-4854682#1,
95,MAShTI,34,6,FakultetiEkonomik_MAShTI_Menza,0,,,0,160,15,18,,42.65938,21.163365,42.659137,21.164555,,-4854682#1,
96,MAShTI,6,33,MAShTI_KarlGega,,,,0,55,5,8,,42.659137,21.164555,42.65908,21.165188,,41897891#1,
97,MAShTI,6,34,MAShTI_FakultetiEkonomik,,,,0,160,15,18,,42.659137,21.164555,42.65938,21.163365,,4854682#0,
98,Parlamenti,8,7,XhamiaLlapitTregu_Parlamenti_IbrahimLutfiu,38,0,2,40,400,36,39,,42.669042,21.163723,42.665671,21.165193,,670811726#0,
99,Parlamenti,8,7,XhamiaLlapitTregu_Parlamenti_MAShTI,90,0,1,91,400,36,39,,42.669042,21.163723,42.665671,21.165193,,670811726#0,
100,Parlamenti,6,7,MAShTI_Parlamenti_XhamiaLlapitTregu,99,0,4,103,750,68,71,,42.659137,21.164555,42.665671,21.165193,,671575266#2,
101,Parlamenti,6,7,MAShTI_Parlamenti_IbrahimLutfiu,29,1,0,30,750,68,71,,42.659137,21.164555,42.665671,21.165193,,671575266#2,
102,Parlamenti,35,7,IbrahimLutfiu_Parlamenti_MAShTI,40,0,0,40,70,7,10,,42.665902,21.165943,42.665671,21.165193,,670811719#0,
103,Parlamenti,35,7,IbrahimLutfiu_Parlamenti_XhamiaLlapitTregu,48,0,1,49,70,7,10,,42.665902,21.165943,42.665671,21.165193,,670811719#0,
104,Parlamenti,7,35,Parlamenti_IbrahimLutfiu,,,,0,70,7,10,,42.665671,21.165193,42.665902,21.165943,,-670811719#1,
105,Xhamia Llapit Tregu,7,8,Parlamenti_XhamiaLlapitTregu_LidhjaPrizrenit,12,0,0,12,400,36,39,,42.665671,21.165193,42.669042,21.163723,,670083490#1,
106,Xhamia Llapit Tregu,7,8,Parlamenti_XhamiaLlapitTregu_XhamiaLlapit,58,2,2,62,400,36,39,,42.665671,21.165193,42.669042,21.163723,,670083490#1,
107,Xhamia Llapit Tregu,7,8,Parlamenti_XhamiaLlapitTregu_MetoBajraktari,16,0,1,17,400,36,39,,42.665671,21.165193,42.669042,21.163723,,670083490#1,
108,Xhamia Llapit Tregu,36,8,LidhjaPrizrenit_XhamiaLlapitTregu_XhamiaLlapit,8,,,8,70,7,10,,42.668669,21.16308,42.669042,21.163723,,-670083489,
109,Xhamia Llapit Tregu,36,8,LidhjaPrizrenit_XhamiaLlapitTregu_MetoBajraktari,15,,,15,70,7,10,,42.668669,21.16308,42.669042,21.163723,,-670083489,
110,Xhamia Llapit Tregu,36,8,LidhjaPrizrenit_XhamiaLlapitTregu_Parlamenti,3,,,3,70,7,10,,42.668669,21.16308,42.669042,21.163723,,-670083489,
111,Xhamia Llapit Tregu,37,8,MetoBajraktari_XhamiaLlapitTregu_Parlamenti,22,,,22,60,6,9,,42.669293,21.16437,42.669042,21.163723,,665263711#3,
112,Xhamia Llapit Tregu,37,8,MetoBajraktari_XhamiaLlapitTregu_LidhjaPrizrenit,19,,1,20,60,6,9,,42.669293,21.16437,42.669042,21.163723,,665263711#3,
113,Xhamia Llapit Tregu,37,8,MetoBajraktari_XhamiaLlapitTregu_XhamiaLlapit,5,,,5,60,6,9,,42.669293,21.16437,42.669042,21.163723,,665263711#3,
114,Xhamia Llapit Tregu,9,8,XhamiaLlapit_XhamiaLlapitTregu_MetoBajraktari,4,,,4,300,27,30,,42.671376,21.161779,42.669042,21.163723,,-670083488#0,
115,Xhamia Llapit Tregu,9,8,XhamiaLlapit_XhamiaLlapitTregu_Parlamenti,90,1,1,92,300,27,30,,42.671376,21.161779,42.669042,21.163723,,-670083488#0,
116,Xhamia Llapit Tregu,9,8,XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit,15,,,15,300,27,30,,42.671376,21.161779,42.669042,21.163723,,-670083488#0,
117,Xhamia Llapit Tregu,8,36,XhamiaLlapitTregu_LidhjaPrizrenit,,,,0,70,7,10,,42.669042,21.163723,42.668669,21.16308,,670083489,
118,Xhamia Llapit Tregu,8,37,XhamiaLlapitTregu_MetoBajraktari,,,,0,60,6,9,,42.669042,21.163723,42.669293,21.16437,,-665263711#3,
119,Xhamia Llapit,8,9,XhamiaLlapitTregu_XhamiaLlapit_LidhjaLezhes,3,,,3,300,27,30,,42.669042,21.163723,42.671376,21.161779,,135256564#0,
120,Xhamia Llapit,8,9,XhamiaLlapitTregu_XhamiaLlapit_Tjegullorja,6,,1,7,300,27,30,,42.669042,21.163723,42.671376,21.161779,,135256564#0,
121,Xhamia Llapit,8,9,XhamiaLlapitTregu_XhamiaLlapit_VellezeritFazliu,53,,3,56,300,27,30,,42.669042,21.163723,42.671376,21.161779,,135256564#0,
122,Xhamia Llapit,8,9,XhamiaLlapitTregu_XhamiaLlapit_Makovc,16,,1,17,300,27,30,,42.669042,21.163723,42.671376,21.161779,,135256564#0,
123,Xhamia Llapit,39,9,LidhjaLezhes_XhamiaLlapit_Tjegullorja,1,1,,2,65,6,9,,42.671112,21.161126,42.671376,21.161779,,50304066#0,
124,Xhamia Llapit,39,9,LidhjaLezhes_XhamiaLlapit_VellezeritFazliu,5,,,5,65,6,9,,42.671112,21.161126,42.671376,21.161779,,50304066#0,
125,Xhamia Llapit,39,9,LidhjaLezhes_XhamiaLlapit_Makovc,8,,,8,65,6,9,,42.671112,21.161126,42.671376,21.161779,,50304066#0,
126,Xhamia Llapit,39,9,LidhjaLezhes_XhamiaLlapit_XhamiaLlapitTregu,5,,,5,65,6,9,,42.671112,21.161126,42.671376,21.161779,,50304066#0,
127,Xhamia Llapit,11,9,Tjegullorja_XhamiaLlapit_VellezeritFazliu,17,1,,18,550,50,53,,42.669213,21.158287,42.671376,21.161779,,665275599,
128,Xhamia Llapit,11,9,Tjegullorja_XhamiaLlapit_Makovc,7,,,7,550,50,53,,42.669213,21.158287,42.671376,21.161779,,665275599,
129,Xhamia Llapit,11,9,Tjegullorja_XhamiaLlapit_XhamiaLlapitTregu,13,,,13,550,50,53,,42.669213,21.158287,42.671376,21.161779,,665275599,
130,Xhamia Llapit,11,9,Tjegullorja_XhamiaLlapit_LidhjaLezhes,2,,,2,550,50,53,,42.669213,21.158287,42.671376,21.161779,,665275599,
131,Xhamia Llapit,40,9,VellezeritFazliu_XhamiaLlapit_Makovc,0,,,0,170,16,19,,42.672308,21.163443,42.671376,21.161779,,-470279439#1,
132,Xhamia Llapit,40,9,VellezeritFazliu_XhamiaLlapit_XhamiaLlapitTregu,54,,2,56,170,16,19,,42.672308,21.163443,42.671376,21.161779,,-470279439#1,
133,Xhamia Llapit,40,9,VellezeritFazliu_XhamiaLlapit_LidhjaLezhes,4,,,4,170,16,19,,42.672308,21.163443,42.671376,21.161779,,-470279439#1,
134,Xhamia Llapit,40,9,VellezeritFazliu_XhamiaLlapit_Tjegullorja,30,,,30,170,16,19,,42.672308,21.163443,42.671376,21.161779,,-470279439#1,
135,Xhamia Llapit,38,9,Makovc_XhamiaLlapit_XhamiaLlapitTregu,10,,1,11,100,9,12,,42.671771,21.162769,42.671376,21.161779,,-670075061#1,
136,Xhamia Llapit,38,9,Makovc_XhamiaLlapit_LidhjaLezhes,2,,,2,100,9,12,,42.671771,21.162769,42.671376,21.161779,,-670075061#1,
137,Xhamia Llapit,38,9,Makovc_XhamiaLlapit_Tjegullorja,13,,,13,100,9,12,,42.671771,21.162769,42.671376,21.161779,,-670075061#1,
138,Xhamia Llapit,38,9,Makovc_XhamiaLlapit_VellezeritFazliu,0,,,0,100,9,12,,42.671771,21.162769,42.671376,21.161779,,-670075061#1,
139,Xhamia Llapit,9,38,XhamiaLlapit_Makovc,,,,0,100,9,12,,42.671376,21.161779,42.671771,21.162769,,670075061#0,
140,Xhamia Llapit,9,39,XhamiaLlapit_LidhjaLezhes,,,,0,65,6,9,,42.671376,21.161779,42.671112,21.161126,,-50304066#1,
141,Xhamia Llapit,9,40,XhamiaLlapit_VellezeritFazliu,,,,0,170,16,19,,42.671376,21.161779,42.672308,21.163443,,470279439#0,
142,Vranjefc,41,10,IsmetKrasniqi_Vranjefc_AzizZhilivoda,2,,,2,60,6,9,,42.688048,21.158926,42.688585,21.158899,,,
143,Vranjefc,41,10,IsmetKrasniqi_Vranjefc_Bardhosh,79,3,2,84,60,6,9,,42.688048,21.158926,42.688585,21.158899,,677925089#0,
144,Vranjefc,43,10,AzizZhilivoda_Vranjefc_Bardhosh,3,,,3,40,4,7,,42.688636,21.158465,42.688585,21.158899,,-E0,
145,Vranjefc,43,10,AzizZhilivoda_Vranjefc_IsmetKrasniqi,0,,,0,40,4,7,,42.688636,21.158465,42.688585,21.158899,,-E0,
146,Vranjefc,42,10,Bardhosh_Vranjefc_IsmetKrasniqi,103,1,2,106,50,5,8,,42.689035,21.158963,42.688585,21.158899,,-677925089#3,
147,Vranjefc,42,10,Bardhosh_Vranjefc_AzizZhilivoda,0,,,0,50,5,8,,42.689035,21.158963,42.688585,21.158899,,,
148,Vranjefc,10,41,Vranjefc_IsmetKrasniqi,,,,0,60,6,9,,42.688585,21.158899,42.688048,21.158926,,-677925089#1,
149,Vranjefc,10,42,Vranjefc_Bardhosh,,,,0,50,5,8,,42.688585,21.158899,42.689035,21.158963,,677925089#2,
150,Vranjefc,10,43,Vranjefc_AzizZhilivoda,,,,0,40,4,7,,42.688585,21.158899,42.688636,21.158465,,,
151,Tjegullorja,9,11,XhamiaLlapit_Tjegullorja_Vushtrria,1,,,1,550,50,53,,42.671376,21.161779,42.669213,21.158287,,-665275599,
